,file_name,Subject1,Subject2,n_success,n_failures,norm_score,skill,task_score,max_seq,avg_seq,bounce_hull,bounce_std,bounce_sp_entropy,bounce_sc_entropy,rt_lyp,samp_en,std_rt,avg_p1,avg_p2,avg_p3,var_p1,var_p2,var_p3,avg_start_fs,std_start_fs,p1_on,p1_off,p1_dn,p1_mda,p1_md,p1_mid,p1_mad,p1_mm,p1_sm,p1_gm,p1_occ,p1_sampen,p1_std,p2_on,p2_off,p2_dn,p2_mda,p2_md,p2_mid,p2_mad,p2_mm,p2_sm,p2_gm,p2_occ,p2_sampen,p2_std,fsp3_on,fsp3_off,fsp3_dn,fsp3_mfs,fsp3_mifs,fsp3_occ,fsp3_sampen,fsp3_std,percentage
0,2022-11-08_A_T01,SE001A,,228,1,11.47275852,2556.380625,9.893,228,228.0,315455.6282,125.9873927,0.469221849,0.644309888,0.262845725,0.936507524,7.73621054,33.9254386,25.31140351,27.14035088,3.514214529,5.016153884,6.285428977,37.83333333,7.314269479,266.3157895,199.5175439,66.79824561,11.7369057,10.85897573,8.523379307,13.90785532,408.8702749,2851.644849,28.30803623,1.0,1.071881663,43.38249218,88.13131313,19.24242424,68.88888889,10.36618932,9.859633286,6.104598277,13.26362858,288.4563528,2151.537878,21.2432233,0.868421053,1.133071039,41.82748274,281.7010309,70.05154639,211.6494845,9.660996975,5.700339573,0.850877193,1.210709505,47.75903242,96.584472
1,2022-11-08_A_T03,SE001B,,197,1,9.595613434,1901.9358,10.213,197,197.0,322035.7515,124.060744,0.458544037,0.637396936,0.236128077,1.000756499,8.093402034,39.89340102,25.94923858,37.31472081,3.837274719,4.038829545,5.776939677,53.30456853,6.492371896,226.9035533,158.3756345,68.52791878,13.49576973,8.118766518,7.490606184,8.743330852,316.2423625,2231.645558,22.08271679,1.0,1.384316121,35.90817162,83.41463415,19.69512195,63.7195122,12.49098111,11.04922794,9.063988791,12.36439708,266.8931721,1822.709888,18.05281251,0.83248731,1.334223915,30.19124054,343.4355828,167.8527607,175.5828221,10.0363956,8.8175658,0.827411168,0.945997236,93.86547175,99.201658
2,2022-11-08_A_T04,SE001C,,93,7,7.601202051,814.8452221,1.41425,23,11.625,545192.4084,177.6043728,0.564620659,0.644355601,0.248869479,1.018569581,11.52274842,43.77419355,27.87096774,41.33333333,5.775605042,7.242683823,5.466089663,61.84946237,12.20342472,369.3548387,289.5698925,79.78494624,13.29430331,13.66279032,10.06501162,18.76973695,538.072754,4416.268526,42.85165399,1.0,1.093971909,61.65820549,95.30120482,29.39759036,65.90361446,13.92631479,13.10263051,9.199060484,15.80794664,299.0314984,2105.634477,20.80851517,0.892473118,0.945737933,38.03414285,390.2325581,115.5813953,274.6511628,10.60132438,7.17466059,0.924731183,0.857902414,124.6819643,97.582728
3,2022-11-09_A_T04,SE002C,,162,8,9.684925476,1723.517436,1.766777778,65,18.0,447417.1925,150.3994508,0.522347725,0.638125173,0.224450082,0.907227226,8.857749383,38.22222222,25.91975309,29.34567901,4.809969072,5.416000979,4.306642856,42.25925926,9.363414194,339.1925466,276.0248447,63.16770186,12.89961615,12.42909451,9.426126,16.93590807,393.052904,2618.976265,25.24921856,0.99382716,0.80084142,80.74171038,139.1791045,76.86567164,62.31343284,11.17054553,11.70338504,7.310238681,15.84919146,317.1177656,2092.002342,18.9270306,0.827160494,1.207912402,61.89843037,312.8688525,147.8688525,165.0,7.06793209,4.958401762,0.75308642,0.756626599,145.5021239,86.100906
4,2022-11-09_A_T07,SE002A,,69,14,5.847953216,611.1401458,0.627,14,4.6,518992.7534,199.0728159,0.581077289,0.616589464,0.255778253,1.122142786,12.06937518,41.79710145,30.75362319,40.97101449,7.288226977,10.54239996,12.16549053,60.66666667,11.87332495,274.8484848,222.7272727,52.12121212,16.51396345,10.02046947,7.02204512,14.05897997,193.4657487,1099.24185,10.77397618,0.956521739,0.916290732,127.6743303,104.2592593,51.2962963,52.96296296,8.70483465,11.33242256,8.427555935,13.34517644,156.2055733,923.9179121,9.12978934,0.782608696,0.343980024,92.08695271,438.2,172.0,266.2,7.446337459,6.031753966,0.724637681,0.991928146,57.20139858,83.99612
5,2022-11-14_M_T01,SE003C,,170,7,9.296224478,1790.923215,2.19175,47,21.25,387727.0918,141.4066545,0.511537518,0.610729088,0.273399264,0.700151645,12.92452003,38.01176471,23.78823529,37.61764706,6.125153765,7.669027268,6.960454287,53.38235294,12.54876302,340.6470588,280.0,60.64705882,11.90079108,12.59623975,9.85649411,16.88876208,378.2100652,2522.379661,24.12198966,1.0,1.053995223,73.45381997,55.59055118,-3.779527559,59.37007874,9.413028383,6.876765448,5.260362347,8.481435195,204.4588442,1361.856095,13.27461096,0.747058824,1.009086452,40.98498944,364.3571429,102.6428571,261.7142857,6.630472461,3.99077318,0.823529412,0.841143995,78.76375811,98.653302
6,2022-11-14_M_T02,SE003B,,112,9,8.194112967,1111.443648,1.257,21,11.2,451184.6197,164.6948731,0.539671483,0.645920392,0.230324239,1.132777102,11.20165349,40.875,26.00892857,37.54464286,6.444993904,7.214191787,5.861326631,44.91071429,11.16879707,383.3928571,316.875,66.51785714,21.31703358,15.96305959,9.679514436,24.36883289,385.0135687,2707.578569,25.94720789,1.0,1.063520969,85.2051471,153.0120482,91.56626506,61.44578313,9.066271495,8.667634003,5.373084433,12.57009945,267.8923098,1793.727531,17.25233689,0.741071429,1.552005863,52.65790802,432.1428571,221.6666667,210.4761905,7.379106392,4.70770318,0.75,1.034405387,149.8636947,84.151344
7,2022-11-14_M_T06,SE003A,,154,2,8.610434487,1344.253932,5.884333333,98,51.33333333,493886.5764,156.0076093,0.53294864,0.640780816,0.199752867,1.140826349,7.889107995,44.85064935,23.97402597,44.2987013,6.159969712,6.761184147,4.03576522,59.96753247,10.73797656,261.9607843,196.3398693,65.62091503,19.81157904,18.3313749,16.95197023,19.50330373,361.1756588,2563.52012,23.19663098,0.993506494,1.266008195,71.6386979,87.42857143,27.14285714,60.28571429,11.70264896,9.242316963,6.220763675,12.13633929,289.4291761,1920.629869,17.53273423,0.681818182,1.144116044,58.27731032,438.3333333,186.5740741,251.7592593,7.231198343,3.907900704,0.701298701,0.870246793,146.9452029,93.579086
8,2022-11-15_M_T04,SE004C,,37,14,4.6,378.4755134,0.333333333,9,2.466666667,330576.5204,173.407183,0.561950571,0.635147352,0.002156535,0.99633344,10.82127872,37.64864865,25.16216216,35.56756757,8.101438698,7.438081391,4.233333237,51.48648649,9.488603752,318.3783784,252.4324324,65.94594595,11.83782611,10.18932822,6.886646544,15.28195834,372.35996,2643.136722,25.93456969,1.0,1.174119841,94.54052509,103.3333333,45.66666667,57.66666667,8.634807567,8.833407957,5.313775019,12.65136347,276.2624254,1825.537088,17.56866896,0.810810811,1.290984181,55.87684871,364.8387097,203.5483871,161.2903226,8.458721183,5.261660334,0.837837838,1.637608789,127.874646,87.412614
9,2022-11-15_A_T04,SE005C,,273,1,11.27320955,2919.500157,12.064,273,273.0,378698.1997,117.7348514,0.461870484,0.654584558,0.27344659,1.151008027,6.643432524,36.04761905,25.16483516,26.80586081,4.696807798,4.973034398,4.429633239,35.88278388,5.723241315,251.7948718,189.5604396,62.23443223,12.61727692,8.691712075,7.264441272,9.768143115,301.21427,1995.652757,19.80324759,1.0,1.209780085,52.42194661,101.8631179,38.93536122,62.92775665,8.417997797,9.091306766,5.61683651,11.43177538,250.8898007,1690.030634,16.81160003,0.963369963,1.294182302,34.17618588,287.6153846,64.65384615,222.9615385,6.997834012,5.314646327,0.952380952,0.817482377,59.59700709,97.789288
