,Unnamed: 0,Date,Session,Trial,Subject_Involved,Participants,Subject,Vicon_Frame,Trial_Type
0,0,2022.11.08,A,T01,A,SE001A,A,24008.0,S
1,1,2022.11.08,A,T02,BC,SE001C,C,37678.0,P
2,2,2022.11.08,A,T02,BC,SE001B,B,37678.0,P
3,3,2022.11.08,A,T03,B,SE001B,B,26054.0,S
4,4,2022.11.08,A,T04,C,SE001C,C,25566.0,S
5,5,2022.11.08,A,T05,AB,SE001B,B,36566.0,P
6,6,2022.11.08,A,T05,AB,SE001A,A,36566.0,P
7,7,2022.11.08,A,T06,AC,SE001C,C,44747.0,P
8,8,2022.11.08,A,T06,AC,SE001A,A,44747.0,P
9,9,2022.11.09,A,T01,AC,SE002C,C,41006.0,P
10,10,2022.11.09,A,T01,AC,SE002A,A,41006.0,P
11,11,2022.11.09,A,T03,B,SE002B,B,27500.0,S
12,12,2022.11.09,A,T04,C,SE002C,C,27491.0,S
13,13,2022.11.09,A,T05,BC,SE002B,B,38676.0,P
14,14,2022.11.09,A,T05,BC,SE002C,C,38676.0,P
15,15,2022.11.09,A,T06,AB,SE002A,A,44213.0,P
16,16,2022.11.09,A,T06,AB,SE002B,B,44213.0,P
17,17,2022.11.09,A,T07,A,SE002A,A,25775.0,S
18,18,2022.11.14,M,T01,C,SE003C,C,29331.0,S
19,19,2022.11.14,M,T02,B,SE003B,B,28280.0,S
20,20,2022.11.14,M,T03,AC,SE003C,C,43548.0,P
21,21,2022.11.14,M,T03,AC,SE003A,A,43548.0,P
22,22,2022.11.14,M,T04,AB,SE003A,A,40402.0,P
23,23,2022.11.14,M,T04,AB,SE003B,B,40402.0,P
24,24,2022.11.14,M,T05,BC,SE003C,C,37946.0,P
25,25,2022.11.14,M,T05,BC,SE003B,B,37946.0,P
26,26,2022.11.14,M,T06,A,SE003A,A,24903.0,S
27,27,2022.11.15,M,T01,A,SE004A,A,27525.0,S
28,28,2022.11.15,M,T02,BC,SE004B,B,39244.0,P
29,29,2022.11.15,M,T02,BC,SE004C,C,39244.0,P
30,30,2022.11.15,M,T03,B,SE004B,B,29768.0,S
31,31,2022.11.15,M,T04,C,SE004C,C,25891.0,S
32,32,2022.11.15,M,T05,AC,SE004C,C,37399.0,P
33,33,2022.11.15,M,T05,AC,SE004A,A,37399.0,P
34,34,2022.11.15,M,T06,AB,SE004A,A,38457.0,P
35,35,2022.11.15,M,T06,AB,SE004B,B,38457.0,P
36,36,2022.11.15,A,T01,AC,SE005C,C,37454.0,P
37,37,2022.11.15,A,T01,AC,SE005A,A,37454.0,P
38,38,2022.11.15,A,T02,BC,SE005B,B,39063.0,P
39,39,2022.11.15,A,T02,BC,SE005C,C,39063.0,P
40,40,2022.11.15,A,T03,AB,SE005A,A,39189.0,P
41,41,2022.11.15,A,T03,AB,SE005B,B,39189.0,P
42,42,2022.11.15,A,T04,C,SE005C,C,31664.0,S
43,43,2022.11.15,A,T05,B,SE005B,B,26098.0,S
44,44,2022.11.15,A,T06,A,SE005A,A,23727.0,S
45,45,2022.11.17,M,T01,A,SE006A,A,33336.0,S
46,46,2022.11.17,M,T04,C,SE006C,C,26218.0,S
47,47,2022.11.17,M,T05,AC,SE006C,C,42586.0,P
48,48,2022.11.17,M,T05,AC,SE006A,A,42586.0,P
49,49,2022.11.21,A,T05,AB,SE006A,A,36508.0,P
50,50,2022.11.21,A,T01B,AC,SE007C,C,39619.0,P
51,51,2022.11.21,A,T01B,AC,SE007A,A,39619.0,P
52,52,2022.11.21,A,T02,BC,SE007B,B,38512.0,P
53,53,2022.11.21,A,T02,BC,SE007C,C,38512.0,P
54,54,2022.11.21,A,T03,B,SE007B,B,28634.0,S
55,55,2022.11.21,A,T04,A,SE007A,A,28493.0,S
56,56,2022.11.21,A,T05,AB,SE007B,B,36508.0,P
57,57,2022.11.21,A,T06,C,SE007C,C,25691.0,S
58,58,2022.11.24,M,T01,B,SE008B,B,30277.0,S
59,59,2022.11.24,M,T02,AC,SE008A,A,42147.0,P
60,60,2022.11.24,M,T02,AC,SE008C,C,42147.0,P
61,61,2022.11.24,M,T03,A,SE008A,A,24413.0,S
62,62,2022.11.24,M,T04,BC,SE008C,C,37912.0,P
63,63,2022.11.24,M,T04,BC,SE008B,B,37912.0,P
64,64,2022.11.24,M,T05,AB,SE008A,A,39071.0,P
65,65,2022.11.24,M,T05,AB,SE008B,B,39071.0,P
66,66,2022.11.24,M,T06,C,SE008C,C,27929.0,S
67,67,2022.11.28,A,T01,BC,SE009C,C,40150.0,P
68,68,2022.11.28,A,T01,BC,SE009B,B,40150.0,P
69,69,2022.11.28,A,T02,A,SE009A,A,26474.0,S
70,70,2022.11.28,A,T03,C,SE009C,C,27674.0,S
71,71,2022.11.28,A,T04,B,SE009B,B,25753.0,S
72,72,2022.11.29,A,T04,B,SE009B,B,26436.0,S
73,73,2022.11.28,A,T05,AC,SE009C,C,35230.0,P
74,74,2022.11.28,A,T05,AC,SE009A,A,35230.0,P
75,75,2022.11.28,A,T06,AB,SE009B,B,37239.0,P
76,76,2022.11.28,A,T06,AB,SE009A,A,37239.0,P
77,77,2022.11.29,A,T01,AB,SE010B,B,38328.0,P
78,78,2022.11.29,A,T01,AB,SE010A,A,38328.0,P
79,79,2022.11.29,A,T02,AC,SE010C,C,36434.0,P
80,80,2022.11.29,A,T02,AC,SE010A,A,36434.0,P
81,81,2022.11.29,A,T03,C,SE010C,C,27810.0,S
82,82,2022.11.29,A,T05,BC,SE010C,C,37135.0,P
83,83,2022.11.29,A,T05,BC,SE010B,B,37135.0,P
84,84,2022.11.29,A,T06,A,SE010A,A,25514.0,S
85,85,2022.11.30,A,T01,C,SE011C,C,31048.0,S
86,86,2022.11.30,A,T02,AB,SE011B,B,40981.0,P
87,87,2022.11.30,A,T02,AB,SE011A,A,40981.0,P
88,88,2022.11.30,A,T03,AC,SE011C,C,35428.0,P
89,89,2022.11.30,A,T03,AC,SE011A,A,35428.0,P
90,90,2022.11.30,A,T04,B,SE011B,B,25098.0,S
91,91,2022.11.30,A,T05,A,SE011A,A,22444.0,S
92,92,2022.11.30,A,T06,BC,SE011C,C,38586.0,P
93,93,2022.11.30,A,T06,BC,SE011B,B,38586.0,P
94,94,2022.12.01,A,T01,B,SE012B,B,30653.0,S
95,95,2022.12.01,A,T02,AC,SE012A,A,37112.0,P
96,96,2022.12.01,A,T02,AC,SE012C,C,37112.0,P
97,97,2022.12.01,A,T03,A,SE012A,A,24677.0,S
98,98,2022.12.01,A,T04,C,SE012C,C,27551.0,S
99,99,2022.12.01,A,T05,BC,SE012B,B,45588.0,P
100,100,2022.12.01,A,T05,BC,SE012C,C,45588.0,P
101,101,2022.12.01,A,T06,AB,SE012B,B,38337.0,P
102,102,2022.12.01,A,T06,AB,SE012A,A,38337.0,P
103,103,2022.12.05,M,T01,AC,SE013C,C,36548.0,P
104,104,2022.12.05,M,T01,AC,SE013A,A,36548.0,P
105,105,2022.12.05,M,T02,BC,SE013B,B,39061.0,P
106,106,2022.12.05,M,T02,BC,SE013C,C,39061.0,P
107,107,2022.12.05,M,T03A,B,SE013B,B,26267.0,S
108,108,2022.12.05,M,T04,C,SE013C,C,23706.0,S
109,109,2022.12.05,M,T05,AB,SE013A,A,38103.0,P
110,110,2022.12.05,M,T05,AB,SE013B,B,38103.0,P
111,111,2022.12.05,M,T06,A,SE013A,A,31301.0,S
112,112,2022.12.07,M,T01,A,SE014A,A,30344.0,S
113,113,2022.12.07,M,T02,B,SE014B,B,30574.0,S
114,114,2022.12.07,M,T03,AB,SE014B,B,47039.0,P
115,115,2022.12.07,M,T03,AB,SE014A,A,47039.0,P
116,116,2022.12.07,A,T01,B,SE016B,B,24469.0,S
117,117,2022.12.07,A,T05B,AB,SE016A,A,36093.0,P
118,118,2022.12.07,A,T05B,AB,SE016B,B,36093.0,P
119,119,2022.12.07,A,T06A,A,SE016A,A,28874.0,S
120,120,2022.12.08,M,T01A,C,SE017C,C,25962.0,S
121,121,2022.12.08,M,T02,AB,SE017B,B,42118.0,P
122,122,2022.12.08,M,T02,AB,SE017A,A,42118.0,P
123,123,2022.12.08,M,T03,B,SE017B,B,25580.0,S
124,124,2022.12.08,M,T04,AC,SE017C,C,43604.0,P
125,125,2022.12.08,M,T04,AC,SE017A,A,43604.0,P
126,126,2022.12.08,M,T05,A,SE017A,A,26689.0,S
127,127,2022.12.08,M,T06,BC,SE017C,C,40164.0,P
128,128,2022.12.08,M,T06,BC,SE017B,B,40164.0,P
129,129,2022.12.08,A,T01,B,SE018B,B,28170.0,S
130,130,2022.12.08,A,T02,AC,SE018A,A,41038.0,P
131,131,2022.12.08,A,T02,AC,SE018C,C,41038.0,P
132,132,2022.12.08,A,T03,AB,SE018B,B,37004.0,P
133,133,2022.12.08,A,T03,AB,SE018A,A,37004.0,P
134,134,2022.12.08,A,T04A,BC,SE018B,B,39392.0,P
135,135,2022.12.08,A,T04A,BC,SE018C,C,39392.0,P
136,136,2022.12.08,A,T05,A,SE018A,A,29867.0,S
137,137,2022.12.08,A,T06,C,SE018C,C,30105.0,S
138,138,2022.12.19,A,T01B,AB,SE019B,B,38908.0,P
139,139,2022.12.19,A,T01B,AB,SE019A,A,38908.0,P
140,140,2022.12.19,A,T02,C,SE019C,C,21382.0,S
141,141,2022.12.19,A,T03,A,SE019A,A,24147.0,S
142,142,2022.12.19,A,T04B,AC,SE019C,C,34000.0,P
143,143,2022.12.19,A,T04B,AC,SE019A,A,34000.0,P
144,144,2022.12.19,A,T05,B,SE019B,B,22514.0,S
145,145,2022.12.19,A,T06,BC,SE019C,C,10070.0,P
146,146,2022.12.19,A,T06,BC,SE019B,B,10070.0,P
147,147,2022.12.20,A,T02,A,SE020A,A,29330.0,S
148,148,2022.12.20,A,T03,B,SE020B,B,27103.0,S
149,149,2022.12.20,A,T04,AB,SE020A,A,40707.0,P
150,150,2022.12.20,A,T04,AB,SE020B,B,40707.0,P
151,151,2022.12.21,M,T01,AC,SE021C,C,49952.0,P
152,152,2022.12.21,M,T01,AC,SE021A,A,49952.0,P
153,153,2022.12.21,M,T02,B,SE021B,B,27640.0,S
154,154,2022.12.21,M,T03,A,SE021A,A,26659.0,S
155,155,2022.12.21,M,T04,C,SE021C,C,27123.0,S
156,156,2022.12.21,M,T05,BC,SE021C,C,45380.0,P
157,157,2022.12.21,M,T05,BC,SE021B,B,45380.0,P
158,158,2022.12.21,M,T06,AB,SE021A,A,41053.0,P
159,159,2022.12.21,M,T06,AB,SE021B,B,41053.0,P
160,160,2023.01.03,A,T01,B,SE022B,B,30808.0,S
161,161,2023.01.03,A,T03B,A,SE022A,A,28527.0,S
162,162,2023.01.03,A,T04,AB,SE022B,B,37466.0,P
163,163,2023.01.03,A,T04,AB,SE022A,A,37466.0,P
164,164,2023.01.16,A,T01,BC,SE023C,C,42867.0,P
165,165,2023.01.16,A,T01,BC,SE023B,B,42867.0,P
166,166,2023.01.16,A,T02,AB,SE023A,A,39843.0,P
167,167,2023.01.16,A,T02,AB,SE023B,B,39843.0,P
168,168,2023.01.16,A,T03,C,SE023C,C,26014.0,S
169,169,2023.01.16,A,T04,AC,SE023C,C,36305.0,P
170,170,2023.01.16,A,T04,AC,SE023A,A,36305.0,P
171,171,2023.01.16,A,T05,A,SE023A,A,25577.0,S
172,172,2023.01.16,A,T06,B,SE023B,B,28058.0,S
173,173,2023.01.17,A,T01,AB,SE024B,B,45510.0,P
174,174,2023.01.17,A,T01,AB,SE024A,A,45510.0,P
175,175,2023.01.17,A,T02,B,SE024B,B,32697.0,S
176,176,2023.01.17,A,T03,A,SE024A,A,34469.0,S
177,177,2023.01.19,A,T02,A,SE025A,A,26970.0,S
178,178,2023.01.19,A,T03,B,SE025B,B,26935.0,S
179,179,2023.01.19,A,T05,AB,SE025C,B,36557.0,P
180,180,2023.01.19,A,T05,AB,SE025A,A,36557.0,P
181,181,2023.01.26,M,T01,AB,SE026B,B,42851.0,P
182,182,2023.01.26,M,T01,AB,SE026A,A,42851.0,P
183,183,2023.01.26,M,T02,A,SE026A,A,27869.0,S
184,184,2023.01.26,M,T03,B,SE026B,B,28620.0,S
185,185,2023.02.06,A,T01,A,SE027A,A,29960.0,S
186,186,2023.02.06,A,T02,B,SE027B,B,30749.0,S
187,187,2023.02.06,A,T03,AB,SE027B,B,46762.0,P
188,188,2023.02.06,A,T03,AB,SE027A,A,46762.0,P
189,189,2023.02.07,A,T01,A,SE028A,A,26649.0,S
190,190,2023.02.07,A,T02,B,SE028B,B,30679.0,S
191,191,2023.02.07,A,T03,AC,SE028C,C,36532.0,P
192,192,2023.02.07,A,T03,AC,SE028A,A,36532.0,P
193,193,2023.02.07,A,T04,BC,SE028C,C,40675.0,P
194,194,2023.02.07,A,T04,BC,SE028B,B,40675.0,P
195,195,2023.02.07,A,T05,AB,SE028A,A,39284.0,P
196,196,2023.02.07,A,T05,AB,SE028B,B,39284.0,P
197,197,2023.02.07,A,T06,C,SE028C,C,25879.0,S
198,198,2023.02.08,A,T01,AB,SE029B,B,38436.0,P
199,199,2023.02.08,A,T01,AB,SE029A,A,38436.0,P
200,200,2023.02.08,A,T02,C,SE029C,C,26773.0,S
201,201,2023.02.08,A,T03,B,SE029B,B,28442.0,S
202,202,2023.02.08,A,T04,A,SE029A,A,27131.0,S
203,203,2023.02.08,A,T05,BC,SE029C,C,38556.0,P
204,204,2023.02.08,A,T05,BC,SE029B,B,38556.0,P
205,205,2023.02.08,A,T06,AC,SE029A,A,33612.0,P
206,206,2023.02.08,A,T06,AC,SE029C,C,33612.0,P
207,207,2023.02.15,M,T01,AC,SE030A,A,36020.0,P
208,208,2023.02.15,M,T01,AC,SE030C,C,36020.0,P
209,209,2023.02.15,M,T02B,B,SE030B,B,25332.0,S
210,210,2023.02.15,M,T03,AB,SE030A,A,39296.0,P
211,211,2023.02.15,M,T03,AB,SE030B,B,39296.0,P
212,212,2023.02.15,M,T04,A,SE030A,A,27161.0,S
213,213,2023.02.15,M,T05,C,SE030C,C,25993.0,S
214,214,2023.02.15,M,T06,BC,SE030B,B,35071.0,P
215,215,2023.02.15,M,T06,BC,SE030C,C,35071.0,P
216,216,2023.02.15,A,T01,A,SE031A,A,27709.0,S
217,217,2023.02.15,A,T02,B,SE031B,B,26635.0,S
218,218,2023.02.15,A,T03,AB,SE031B,B,35755.0,P
219,219,2023.02.15,A,T03,AB,SE031A,A,35755.0,P
220,220,2023.02.27,A,T01,B,SE032B,B,28333.0,S
221,221,2023.02.27,A,T02,A,SE032A,A,27463.0,S
222,222,2023.02.27,A,T03,AB,SE032B,B,36853.0,P
223,223,2023.02.27,A,T03,AB,SE032A,A,36853.0,P
224,224,2023.03.09,A,T01,BC,SE033B,B,41143.0,P
225,225,2023.03.09,A,T01,BC,SE033C,C,41143.0,P
226,226,2023.03.09,A,T02,A,SE033A,A,28922.0,S
227,227,2023.03.09,A,T03,AB,SE033A,A,36508.0,P
228,228,2023.03.09,A,T03,AB,SE033B,B,36508.0,P
229,229,2023.03.09,A,T04,C,SE033C,C,30358.0,S
